basePrice,demand,occupancy,weekend,season,leadDays,rating,finalPrice
2360,10,11,1,2,24,4.9,3356.0
5272,34,97,0,2,10,3.8,7912.0
4592,54,40,1,0,44,3.7,5986.0
1966,58,36,1,1,52,4.4,2618.0
5926,98,11,0,1,23,4.6,8252.0
4944,25,87,0,0,16,3.4,6260.0
4671,28,13,0,1,37,4.7,5643.0
4419,32,22,1,1,16,3.1,5835.0
1630,92,44,1,1,56,3.0,2290.0
3185,34,81,1,2,44,3.3,4931.0
2269,25,75,1,2,31,5.0,3441.0
3891,63,15,0,2,6,4.0,6084.0
3933,82,40,0,1,30,3.1,5439.0
2684,10,19,0,2,37,5.0,3421.0
4885,51,30,0,1,1,4.5,7068.0
5617,28,83,1,0,51,4.7,7587.0
4404,43,32,1,1,42,3.4,6058.0
1974,89,12,0,2,25,3.2,2970.0
2582,64,41,1,1,46,4.0,3918.0
4058,27,29,0,2,57,4.5,5510.0
3547,43,83,1,2,21,4.3,5701.0
4247,98,38,1,0,35,4.3,6028.0
2475,54,61,1,0,38,4.5,3247.0
3306,15,55,1,2,5,3.5,5189.0
1689,30,43,1,1,49,4.3,2393.0
4234,79,93,1,0,50,3.8,6431.0
4505,57,70,0,0,12,3.1,5550.0
3399,48,81,1,2,5,3.4,6116.0
2767,40,80,0,1,9,4.6,3789.0
3028,19,79,0,0,44,4.8,3817.0
4702,39,20,0,0,52,3.6,5321.0
5056,27,91,0,1,9,3.4,6843.0
5390,69,98,0,0,35,3.1,7185.0
2146,97,72,0,1,1,4.9,3551.0
4388,82,30,1,2,54,4.4,6994.0
3935,24,12,1,0,47,4.9,4822.0
2100,13,91,1,2,10,4.7,3402.0
3863,72,97,0,1,46,3.7,5658.0
3561,49,19,0,2,39,3.2,4734.0
1741,18,36,0,2,36,4.0,2321.0
3541,18,21,1,2,58,3.1,5154.0
4324,35,16,1,1,37,3.3,5718.0
4112,13,26,1,1,52,3.5,5407.0
2863,90,74,0,1,48,4.3,4189.0
2978,25,73,0,1,35,4.0,3893.0
4056,24,35,0,1,17,3.6,4978.0
2275,61,24,1,0,13,4.1,2836.0
5514,78,42,0,0,6,3.3,7662.0
1534,14,71,0,0,58,4.5,1735.0
4652,29,56,0,2,37,4.4,6745.0
3455,88,44,0,2,48,3.4,5288.0
3085,27,74,1,1,32,4.2,4577.0
5443,11,81,1,1,11,4.0,7477.0
4573,22,85,0,0,17,3.1,5423.0
2521,13,92,0,1,5,3.6,3618.0
4961,51,34,1,2,6,5.0,8408.0
4113,83,66,1,1,10,3.2,6269.0
5343,70,41,0,0,53,4.0,6862.0
3000,17,72,1,1,33,4.7,4239.0
1661,76,21,1,2,30,3.6,2496.0
5797,72,72,0,0,21,3.5,7558.0
3481,18,86,1,1,42,4.8,5022.0
2495,20,10,1,2,17,3.6,3573.0
4842,51,60,1,0,27,4.3,6496.0
5298,22,79,1,0,3,4.5,7533.0
2775,45,17,0,2,60,4.6,3893.0
2516,22,77,1,1,29,5.0,3581.0
1837,21,14,1,1,2,4.6,2531.0
2378,46,98,0,1,29,4.3,3411.0
2576,83,95,1,0,49,4.8,3883.0
5493,82,48,0,0,36,4.8,7207.0
1879,61,32,0,1,34,4.9,2570.0
1992,80,77,1,0,37,4.6,2858.0
3562,11,61,1,0,42,3.4,4391.0
5384,65,13,1,2,1,4.4,8897.0
1564,69,56,1,1,60,3.2,2396.0
4068,32,30,1,1,26,3.6,5469.0
3527,49,65,0,1,1,3.2,5386.0
4195,73,75,1,0,59,4.9,6033.0
2995,94,68,0,0,58,3.7,4104.0
1891,32,16,1,0,4,4.4,2660.0
5974,38,58,0,1,39,4.1,7990.0
5061,87,25,1,0,14,3.2,6808.0
3778,99,26,1,1,46,4.1,5765.0
4599,60,93,1,0,18,4.3,6666.0
1700,78,96,1,1,34,4.8,2787.0
4604,98,84,1,2,1,3.1,8541.0
3954,40,43,0,0,53,3.6,4704.0
5145,59,42,1,1,22,4.4,7485.0
2304,29,35,1,2,16,3.1,3254.0
4231,64,75,1,2,22,3.4,7102.0
4273,90,72,0,0,50,3.4,5852.0
3070,11,96,1,1,16,4.3,4336.0
4190,34,50,0,0,28,3.6,4878.0
5340,22,95,1,2,28,4.2,8407.0
2528,79,67,0,0,55,4.9,3360.0
2002,76,88,1,1,22,4.6,3282.0
5993,67,19,1,2,56,3.7,9154.0
2370,91,24,0,0,6,3.9,3505.0
5988,84,51,1,0,25,3.4,8159.0
1706,93,66,0,0,42,3.0,2274.0
2984,73,96,1,0,2,3.6,4610.0
2363,78,26,1,0,7,3.7,3493.0
4290,92,69,0,2,53,4.1,6932.0
2063,95,18,1,2,17,4.9,3455.0
5691,68,45,0,1,35,4.9,7830.0
3257,69,82,0,0,20,3.1,4307.0
3178,92,89,1,1,44,4.2,5086.0
4742,71,45,1,2,2,3.1,8118.0
2559,25,57,1,0,7,4.3,3561.0
3222,97,60,0,1,32,3.2,4570.0
4814,77,79,0,0,49,4.9,6658.0
4657,24,83,1,0,19,4.7,6208.0
4125,98,89,0,1,12,3.0,6327.0
4229,64,77,0,2,9,4.6,6707.0
3097,44,31,0,1,27,4.3,4140.0
4560,64,86,0,1,14,4.0,6548.0
4193,23,89,1,1,2,4.2,6555.0
5127,58,15,1,0,21,4.4,6683.0
2863,92,35,1,2,4,4.8,5121.0
3481,16,84,0,2,60,4.5,5201.0
3163,39,97,0,0,51,4.2,3967.0
3029,92,12,0,2,21,4.6,4624.0
3538,58,61,0,1,48,5.0,4982.0
4802,98,83,1,2,22,3.6,8332.0
3737,25,69,0,0,49,3.2,4361.0
2806,60,72,0,2,2,4.5,4579.0
5529,81,74,1,0,17,5.0,8197.0
4175,91,61,1,1,19,3.2,6409.0
2782,89,99,1,0,40,3.9,4230.0
2209,92,85,0,2,24,3.1,3755.0
5913,51,23,0,1,20,4.6,7654.0
5248,26,98,0,2,38,4.9,7939.0
2163,72,81,0,0,12,4.0,2876.0
3498,54,77,0,1,25,3.8,4854.0
4945,86,37,0,0,23,4.8,6412.0
5243,16,80,1,2,50,3.3,8026.0
2995,36,19,0,0,59,4.8,3556.0
4804,19,66,1,2,34,3.8,7265.0
5263,43,75,1,2,32,4.1,8468.0
3353,45,99,1,1,51,4.1,5106.0
2791,34,59,0,1,24,4.2,3673.0
5081,15,23,0,0,42,4.9,5554.0
4957,33,25,1,2,25,4.9,7309.0
3136,27,63,0,2,3,4.7,5066.0
5196,96,52,0,1,25,3.4,7453.0
4499,15,51,1,1,28,3.7,6121.0
4652,38,90,0,1,12,4.0,6383.0
2198,34,31,0,1,26,4.8,2822.0
3660,64,77,0,0,48,4.0,4791.0
5597,90,28,0,0,44,5.0,7199.0
2354,55,75,1,0,8,5.0,3279.0
4974,33,48,1,0,5,4.2,6899.0
3207,84,82,0,1,11,4.8,4841.0
4277,35,28,0,0,42,5.0,4800.0
3233,37,25,0,0,35,4.7,3728.0
5010,12,63,1,0,27,4.3,6370.0
1702,84,34,0,1,55,4.7,2399.0
4755,47,27,0,2,41,3.2,6523.0
5718,70,32,1,1,44,4.3,8292.0
5996,87,94,0,2,38,3.4,9867.0
2266,60,20,1,2,19,3.2,3426.0
5889,99,48,0,0,48,4.8,8085.0
3827,57,77,1,0,53,4.3,5448.0
4431,30,34,0,0,55,3.5,4943.0
1697,63,72,0,1,56,3.8,2295.0
3430,65,39,1,1,32,4.9,5134.0
5082,68,54,1,0,46,4.7,6981.0
2108,81,99,1,1,28,3.0,3294.0
4772,60,70,1,1,36,5.0,7312.0
2647,29,60,1,2,18,3.7,3998.0
5782,95,18,0,1,10,4.4,7855.0
4897,68,85,1,2,32,4.4,8128.0
4011,80,11,1,0,18,4.8,5464.0
3294,18,14,1,1,12,4.8,4300.0
2159,10,71,1,2,51,3.6,3294.0
4311,38,78,0,1,8,4.3,5840.0
2869,72,61,0,2,33,3.8,4284.0
3486,81,95,0,2,46,4.1,5754.0
1646,65,14,0,1,55,4.1,2283.0
4719,77,68,0,0,38,3.8,6135.0
